Transect_id,Species,TL_cm
27,white grunt,9
27,white grunt,9
27,white grunt,9
27,white grunt,9
27,white grunt,9
27,white grunt,10
27,white grunt,10
27,white grunt,10
27,white grunt,10
27,white grunt,10
27,white grunt,3
27,white grunt,3
27,white grunt,4
27,white grunt,4
27,white grunt,6
27,white grunt,6
27,white grunt,6
27,white grunt,6
27,white grunt,6
27,white grunt,7
27,white grunt,7
27,white grunt,7
27,white grunt,7
27,white grunt,7
27,white grunt,2
27,white grunt,3
27,redband parrotfish,18
28,white grunt,7
28,white grunt,7
28,white grunt,8
28,white grunt,8
28,white grunt,7
28,white grunt,8
28,white grunt,9
28,white grunt,10
28,white grunt,11
28,white grunt,12
28,white grunt,8
28,white grunt,9
28,white grunt,10
28,white grunt,11
28,white grunt,3
28,white grunt,3
28,white grunt,3
28,white grunt,3
28,white grunt,3
28,white grunt,3
28,white grunt,3
28,redband parrotfish,7
29,redband parrotfish,4
29,redband parrotfish,5
29,redband parrotfish,21
30,white grunt,24
30,white grunt,24
30,white grunt,24
30,white grunt,24
30,white grunt,24
30,white grunt,24
30,white grunt,25
30,white grunt,25
30,white grunt,25
30,white grunt,25
30,white grunt,25
30,white grunt,25
30,white grunt,26
30,white grunt,26
30,white grunt,26
30,white grunt,26
30,white grunt,26
30,white grunt,26
30,white grunt,24
30,white grunt,25
30,white grunt,16
30,white grunt,16
30,white grunt,16
30,white grunt,17
30,white grunt,17
30,white grunt,17
30,white grunt,18
30,white grunt,18
30,white grunt,18
30,white grunt,19
30,white grunt,19
30,white grunt,19
30,white grunt,20
30,white grunt,20
30,white grunt,20
30,white grunt,18
30,white grunt,20
30,white grunt,18
30,white grunt,15
30,white grunt,20
30,white grunt,25
30,white grunt,23
30,white grunt,23
30,white grunt,24
30,white grunt,24
30,white grunt,17
30,white grunt,18
30,white grunt,19
30,white grunt,20
30,white grunt,18
30,white grunt,19
30,redband parrotfish,20
31,white grunt,10
31,white grunt,7
31,white grunt,8
31,white grunt,7
31,white grunt,6
31,white grunt,6
31,white grunt,6
31,white grunt,7
31,white grunt,8
31,white grunt,8
31,white grunt,9
31,white grunt,5
31,white grunt,6
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,8
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,white grunt,9
31,redband parrotfish,14
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,7
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,8
32,white grunt,9
